Date,Stock Price,Interest Rate (%),Inflation Rate (%),GDP Growth Rate (%),Market Index
2010-07-31,46135.28,4.09,3.66,6.75,13562.5
2010-08-01,44338.26,4.63,2.59,9.0,19943.51
2010-08-02,25092.12,6.78,4.85,3.41,23399.64
2010-08-03,47048.06,4.97,6.53,6.69,39493.8
2010-08-04,25676.21,6.04,5.92,6.78,24090.96
2010-08-05,29642.99,5.22,5.11,9.02,36902.52
2010-08-06,48592.11,6.71,3.58,3.68,26501.6
2010-08-07,44233.48,4.14,4.71,4.68,37900.65
2010-08-08,53215.05,3.29,2.46,5.85,44216.96
2010-08-09,44592.58,4.5,5.39,9.06,19914.77
2010-08-10,40573.89,5.37,5.63,9.57,40457.27
2010-08-11,19215.36,3.84,6.83,9.95,32520.19
2010-08-12,31547.21,4.77,3.3,9.71,38970.71
2010-08-13,26934.11,5.0,2.09,3.04,33502.33
2010-08-14,25979.53,3.29,4.73,3.33,25990.33
2010-08-15,58785.47,5.92,5.53,4.03,19526.47
2010-08-16,32689.4,7.42,5.95,5.44,14311.16
2010-08-17,55142.09,3.76,2.97,8.81,29672.11
2010-08-18,43401.24,5.99,3.31,9.25,44680.76
2010-08-19,50766.51,6.32,4.56,4.31,36355.38
2010-08-20,37618.67,5.1,3.65,7.34,22802.4
2010-08-21,40960.67,6.51,6.3,9.42,39297.76
2010-08-22,37163.3,5.05,4.37,6.25,37376.47
2010-08-23,23785.93,5.52,6.0,3.72,21293.98
2010-08-24,47510.35,3.04,4.9,6.2,12472.15
2010-08-25,27634.76,6.46,5.87,5.63,15899.37
2010-08-26,16094.22,6.31,3.66,7.04,40951.1
2010-08-27,44046.25,3.19,6.16,6.07,39606.58
2010-08-28,22969.98,4.84,3.37,3.12,21741.9
2010-08-29,57320.64,7.9,4.73,9.96,21411.45
2010-08-30,57926.79,5.1,3.07,6.8,38164.54
2010-08-31,56168.9,5.51,4.38,6.32,42945.34
2010-09-01,31657.14,7.55,3.59,9.68,37711.53
2010-09-02,15695.55,6.59,3.33,4.09,31984.1
2010-09-03,56774.34,5.91,6.83,4.32,20008.15
2010-09-04,34268.29,6.99,2.8,8.66,29349.68
2010-09-05,58499.47,7.32,5.94,4.83,19705.89
2010-09-06,58362.9,5.28,6.92,8.59,38664.38
2010-09-07,53385.43,5.38,2.1,4.9,24769.72
2010-09-08,28250.2,4.93,5.5,3.23,39512.01
2010-09-09,32329.4,7.83,3.26,6.62,24593.1
2010-09-10,53301.15,6.49,2.2,4.38,39196.93
2010-09-11,29261.49,3.42,4.01,8.3,22999.49
2010-09-12,22627.17,7.31,6.68,7.49,26524.38
2010-09-13,40056.06,5.4,2.06,9.47,32311.12
2010-09-14,57126.96,3.34,4.94,8.48,14319.49
2010-09-15,46321.34,5.75,4.51,4.27,43290.83
2010-09-16,40652.75,5.09,6.37,8.6,30928.99
2010-09-17,19372.94,7.39,2.42,7.49,28758.06
2010-09-18,42675.33,4.02,5.41,7.68,39700.0
2010-09-19,59552.42,7.13,5.4,8.83,40570.17
2010-09-20,21303.78,5.79,5.35,7.02,29234.59
2010-09-21,38324.83,3.27,6.71,6.26,42599.66
2010-09-22,54481.79,7.86,6.12,7.46,14136.35
2010-09-23,48334.59,5.56,2.21,5.09,15736.45
2010-09-24,46365.71,4.45,4.36,4.28,31694.01
2010-09-25,46611.78,5.35,3.99,7.32,23684.17
2010-09-26,31177.1,7.29,3.55,4.64,27319.43
2010-09-27,28211.63,4.52,4.26,3.56,22826.61
2010-09-28,51421.25,3.96,3.92,3.0,25355.94
2010-09-29,51455.1,3.65,4.16,7.26,39147.33
2010-09-30,54018.25,4.49,6.9,5.54,31584.71
2010-10-01,56095.82,6.9,2.44,8.27,44912.37
2010-10-02,38010.41,5.36,6.61,5.63,37967.01
2010-10-03,37568.23,4.14,4.4,6.4,21030.99
2010-10-04,50923.28,3.83,5.12,5.85,20723.39
2010-10-05,44248.38,4.66,6.15,7.55,23084.64
2010-10-06,46588.51,7.7,3.8,5.49,39827.56
2010-10-07,50810.67,4.72,4.15,9.75,12900.49
2010-10-08,55050.24,7.94,4.05,9.55,19595.98
2010-10-09,30209.78,5.43,3.87,8.94,41862.31
2010-10-10,31901.23,3.9,6.63,9.44,33116.58
2010-10-11,19229.19,7.46,6.14,6.14,19485.95
2010-10-12,41022.61,5.3,2.54,6.76,19231.78
2010-10-13,16617.4,6.55,2.54,8.19,40466.4
2010-10-14,35951.91,7.92,4.14,7.87,41494.0
2010-10-15,39419.01,3.25,2.49,9.23,20452.33
2010-10-16,27894.36,3.48,5.1,8.01,25876.84
2010-10-17,41587.5,6.6,2.72,9.99,39541.66
2010-10-18,16372.51,4.41,4.61,5.44,37443.25
2010-10-19,16680.67,3.92,2.04,8.83,38859.23
2010-10-20,52017.03,3.2,3.58,7.88,29107.14
2010-10-21,31208.58,3.11,5.39,7.84,42081.12
2010-10-22,20717.72,6.87,4.42,5.28,22756.4
2010-10-23,38500.95,3.67,6.89,8.5,17170.18
2010-10-24,49649.71,5.34,6.37,9.3,35388.17
2010-10-25,24711.95,6.03,3.8,4.53,29798.7
2010-10-26,43030.07,5.14,2.23,7.38,40201.33
2010-10-27,18840.64,3.14,6.23,5.74,14678.26
2010-10-28,17325.68,6.92,6.56,9.93,39841.85
2010-10-29,38910.96,3.05,6.1,6.35,21678.72
2010-10-30,39328.58,6.81,2.64,4.6,33610.24
2010-10-31,43684.35,7.47,6.99,5.67,13324.25
2010-11-01,47674.11,5.16,3.29,7.58,32116.18
2010-11-02,58913.34,5.68,5.62,3.53,35669.97
2010-11-03,38233.52,5.38,6.54,7.23,24168.76
2010-11-04,29533.04,4.95,3.18,9.52,19108.55
2010-11-05,50783.38,7.44,6.54,8.95,29741.81
2010-11-06,27187.45,7.47,3.55,3.47,39495.3
2010-11-07,34753.71,4.68,6.88,9.95,22677.06
2010-11-08,18530.54,6.08,3.41,7.89,20331.49
2010-11-09,16140.78,7.63,6.77,4.14,21204.87
2010-11-10,58319.18,7.81,2.27,3.09,43321.36
2010-11-11,52619.11,5.54,5.55,4.2,23856.14
2010-11-12,46318.84,5.26,4.66,8.87,12118.94
2010-11-13,33402.88,4.39,4.39,3.15,37795.48
2010-11-14,22798.24,7.79,3.12,4.63,35076.07
2010-11-15,22039.67,3.71,5.53,8.3,16242.75
2010-11-16,26260.93,5.9,2.95,7.1,44501.84
2010-11-17,39715.2,4.41,4.76,8.48,32066.06
2010-11-18,47156.82,4.4,3.27,8.22,28525.72
2010-11-19,44708.88,5.02,6.78,3.35,24613.24
2010-11-20,27597.03,7.99,2.14,9.25,41656.2
2010-11-21,57968.94,3.27,3.0,4.59,20050.79
2010-11-22,48205.36,5.89,3.21,6.87,21430.37
2010-11-23,39945.93,3.41,4.07,7.51,16039.56
2010-11-24,42527.43,3.77,3.16,4.18,37050.93
2010-11-25,33882.0,5.2,4.46,9.83,31653.13
2010-11-26,26147.89,5.55,6.36,6.42,32099.18
2010-11-27,31018.77,4.29,5.56,3.4,19209.52
2010-11-28,49103.07,4.58,4.9,9.56,33488.56
2010-11-29,15647.71,3.43,2.45,7.1,37260.13
2010-11-30,20223.27,4.52,5.47,7.89,23810.32
2010-12-01,17070.12,7.83,2.83,6.68,38444.46
2010-12-02,16832.8,7.72,5.93,8.84,23510.09
2010-12-03,53495.73,4.67,3.25,3.23,37018.57
2010-12-04,46664.6,5.85,4.09,4.88,13113.09
2010-12-05,36337.82,7.55,3.75,6.29,30188.43
2010-12-06,19402.54,3.03,6.29,3.54,43994.38
2010-12-07,37122.71,7.05,2.63,7.94,44381.07
2010-12-08,36306.23,7.74,4.83,5.76,21297.84
2010-12-09,22794.08,3.46,2.71,4.91,26566.17
2010-12-10,34523.32,3.81,5.52,3.02,14078.27
2010-12-11,32932.71,7.8,6.53,8.04,40820.26
2010-12-12,42713.25,5.69,4.17,8.84,30762.88
2010-12-13,43579.21,3.07,4.44,5.77,24708.32
2010-12-14,17038.68,4.29,6.64,6.95,15721.43
2010-12-15,31857.57,5.25,4.6,4.59,43243.32
2010-12-16,43163.7,6.46,4.44,7.36,29497.23
2010-12-17,37641.13,6.67,4.89,3.08,21336.62
2010-12-18,53542.04,7.98,5.45,6.42,23557.1
2010-12-19,44641.21,4.44,2.53,7.51,20933.01
2010-12-20,22332.05,5.69,6.11,9.43,31859.72
2010-12-21,18175.59,5.67,4.18,5.67,42688.8
2010-12-22,43908.87,5.03,2.36,8.36,40270.9
2010-12-23,16193.01,3.85,5.93,7.18,27192.57
2010-12-24,41359.9,7.89,3.88,9.49,39274.48
2010-12-25,57310.36,7.27,2.5,5.79,25962.48
2010-12-26,40896.34,5.49,5.17,5.23,20326.14
2010-12-27,32467.65,6.02,6.4,9.21,44452.7
2010-12-28,43947.97,4.14,6.44,3.34,22028.29
2010-12-29,35621.38,5.72,6.79,3.95,22682.9
2010-12-30,39552.76,6.47,6.34,3.58,44659.86
2010-12-31,57365.92,5.58,2.01,8.9,16419.61
2011-01-01,32374.62,7.95,3.9,3.07,37097.62
2011-01-02,58253.58,6.06,6.09,9.03,42881.82
2011-01-03,55740.78,4.85,3.83,6.16,28889.23
2011-01-04,23810.6,6.86,5.01,3.03,12083.22
2011-01-05,18121.26,3.85,5.03,5.81,24376.95
2011-01-06,19535.01,4.92,3.83,4.31,15681.78
2011-01-07,15819.98,4.73,6.52,7.37,25734.19
2011-01-08,19249.93,5.16,4.52,7.76,38070.88
2011-01-09,45735.3,6.91,4.32,6.41,26477.48
2011-01-10,18203.49,5.42,6.99,3.28,26253.53
2011-01-11,29353.9,6.97,4.47,7.59,30374.05
2011-01-12,53019.39,5.88,2.89,8.89,31195.79
2011-01-13,16047.24,4.71,4.57,8.04,40257.78
2011-01-14,51651.08,7.05,6.07,8.81,22175.73
2011-01-15,27683.46,4.19,5.88,4.4,39115.15
2011-01-16,20317.42,4.12,5.94,9.22,30675.81
2011-01-17,46353.17,5.52,5.54,5.26,21917.48
2011-01-18,43302.43,4.3,3.27,3.09,21739.16
2011-01-19,54486.24,3.05,6.31,8.9,23917.54
2011-01-20,48078.2,6.24,6.47,9.59,32548.88
2011-01-21,51156.64,5.56,2.97,7.59,19616.79
2011-01-22,27691.56,5.23,2.65,4.62,42371.01
2011-01-23,22984.78,7.83,6.88,4.76,30972.12
2011-01-24,48777.66,5.86,6.34,6.27,42360.52
2011-01-25,51307.56,7.32,6.47,9.28,13531.34
2011-01-26,59572.73,3.7,6.43,4.05,23306.18
2011-01-27,33567.8,5.85,4.71,8.78,12752.65
2011-01-28,31740.81,7.34,5.23,5.04,20984.31
2011-01-29,49938.58,5.92,4.73,8.66,40446.21
2011-01-30,30336.16,6.59,2.26,9.44,13208.12
2011-01-31,56884.08,4.86,5.73,5.99,26392.85
2011-02-01,53628.57,3.46,4.53,5.56,15879.71
2011-02-02,34304.73,5.29,5.24,8.62,25755.74
2011-02-03,48789.2,4.97,4.51,6.71,39682.1
2011-02-04,48954.43,7.34,4.46,7.79,32561.34
2011-02-05,19640.57,4.22,2.86,7.36,36312.96
2011-02-06,55614.88,7.83,3.39,4.07,23520.44
2011-02-07,37736.36,7.79,2.79,8.91,43165.12
2011-02-08,52190.59,4.24,2.98,4.37,35405.65
2011-02-09,29402.23,4.74,6.86,9.53,25919.36
2011-02-10,55298.55,7.48,2.77,4.75,26073.34
2011-02-11,32514.08,7.83,3.35,8.14,42316.58
2011-02-12,15487.69,5.22,4.95,4.99,31021.35
2011-02-13,55742.19,4.6,5.05,5.22,35310.51
2011-02-14,19107.9,5.63,2.77,5.17,25762.16
2011-02-15,29369.11,6.44,5.97,8.24,19381.86
2011-02-16,57752.79,4.37,5.93,6.9,35877.46
2011-02-17,57777.32,6.68,3.19,9.18,32058.18
2011-02-18,40804.7,3.26,3.44,5.15,28544.32
2011-02-19,43432.67,3.25,6.69,7.84,32592.69
2011-02-20,35180.05,4.93,6.13,8.27,18873.42
2011-02-21,28194.48,4.77,5.49,4.06,38199.98
2011-02-22,29789.9,4.58,2.41,5.8,43289.37
2011-02-23,45263.33,5.46,4.09,6.38,41406.4
2011-02-24,48856.85,4.6,4.8,5.49,22607.38
2011-02-25,50621.06,3.96,2.94,5.25,25398.19
2011-02-26,50532.82,4.55,4.24,7.8,38677.28
2011-02-27,19104.27,7.87,5.01,4.51,31638.87
2011-02-28,37248.91,5.06,3.64,7.97,30081.18
2011-03-01,17590.14,5.22,5.9,9.55,42579.18
2011-03-02,39728.8,5.88,6.2,6.96,29688.82
2011-03-03,34868.87,7.92,3.62,7.28,28992.98
2011-03-04,54946.69,4.21,6.19,3.48,13386.61
2011-03-05,30791.18,6.41,2.52,9.05,14290.76
2011-03-06,20268.02,6.58,6.19,5.0,12244.87
2011-03-07,21434.63,6.04,2.76,7.31,42137.06
2011-03-08,49267.98,3.44,2.41,9.85,25476.76
2011-03-09,42819.81,6.38,5.21,7.17,27462.53
2011-03-10,19550.52,3.32,4.36,8.07,39897.77
2011-03-11,18784.81,5.98,6.54,6.12,32105.13
2011-03-12,46543.61,6.7,3.82,3.42,32113.55
2011-03-13,18274.34,4.05,3.44,8.58,21785.64
2011-03-14,51983.7,7.21,4.5,3.24,39518.98
2011-03-15,46780.9,3.15,4.28,7.9,17472.39
2011-03-16,18660.7,7.22,3.72,3.16,13753.94
2011-03-17,18817.7,5.3,5.47,9.04,18322.91
2011-03-18,59398.78,4.09,5.8,4.1,20835.33
2011-03-19,31842.19,3.67,6.26,6.6,21316.26
2011-03-20,31678.9,7.77,6.86,7.18,34126.95
2011-03-21,51575.98,3.36,3.33,6.2,19188.21
2011-03-22,57626.19,4.0,5.58,5.39,34329.72
2011-03-23,59370.05,4.74,3.97,6.27,15007.36
2011-03-24,48902.02,6.1,5.39,5.18,16857.68
2011-03-25,31931.68,5.72,4.38,6.07,28791.11
2011-03-26,18757.53,3.63,6.97,5.51,42422.56
2011-03-27,49971.61,4.45,5.64,6.96,40365.73
2011-03-28,40128.19,4.19,6.76,4.67,43968.86
2011-03-29,34089.99,4.07,6.17,9.92,33465.81
2011-03-30,55785.95,5.06,6.51,6.51,34301.89
2011-03-31,20003.89,6.52,6.07,4.36,32625.76
2011-04-01,37168.13,4.09,4.3,6.34,32553.02
2011-04-02,15510.91,4.83,3.26,9.06,16854.97
2011-04-03,36089.73,4.95,3.85,3.15,29943.39
2011-04-04,17533.65,7.88,2.1,7.76,24740.24
2011-04-05,20346.81,7.77,4.62,6.84,26603.73
2011-04-06,20288.68,7.0,4.53,4.19,29278.82
2011-04-07,44214.46,4.21,4.63,8.72,16237.07
2011-04-08,48572.02,3.34,6.87,5.58,23863.1
2011-04-09,41251.59,4.58,6.56,5.06,14093.84
2011-04-10,58297.76,4.33,2.81,8.8,44329.05
2011-04-11,31869.18,5.53,3.84,7.47,15911.42
2011-04-12,27857.04,6.89,4.12,9.29,20531.32
2011-04-13,54086.96,7.29,3.8,7.41,41412.67
2011-04-14,25061.81,7.22,5.99,8.19,27929.43
2011-04-15,58345.01,4.8,4.62,8.86,16476.03
2011-04-16,15546.95,6.44,4.86,3.38,24679.61
2011-04-17,58644.55,4.56,6.27,8.43,15823.64
2011-04-18,16942.2,3.3,6.03,7.3,18607.13
2011-04-19,55101.44,6.51,2.66,3.49,13716.98
2011-04-20,38746.55,3.05,5.57,6.56,26461.51
2011-04-21,59683.42,5.05,4.18,3.58,38618.99
2011-04-22,18320.85,4.65,3.47,8.15,31336.98
2011-04-23,39923.44,6.47,2.25,6.83,32009.4
2011-04-24,58618.61,6.83,4.44,9.68,18619.27
